Chars	Matches	Time
1467000	16485	273
1468000	14420	493
1469000	13462	494
1470000	14525	495
1471000	14420	496
1472000	15462	278
1473000	15462	496
1474000	16590	493
1475000	14420	494
1476000	14420	494
1477000	14525	493
1478000	14525	272
1479000	14420	497
1480000	15462	496
1481000	15462	492
1482000	15462	272
1483000	15569	491
1484000	14525	497
1485000	13504	494
1486000	14525	493
1487000	14420	274
1488000	14420	491
1489000	15462	494
1490000	15462	492
1491000	16485	271
1492000	14525	495
1493000	13483	494
1494000	14525	501
1495000	14420	491
1496000	15462	496
1497000	15462	273
1498000	15462	492
1499000	13397	493
1500000	14525	496
1501000	14525	496
1502000	14525	272
1503000	13483	495
1504000	15462	496
1505000	15462	492
1506000	15462	492
1507000	14525	274
1508000	14525	492
1509000	14525	492
1510000	14525	494
1511000	14420	276
1512000	15462	496
1513000	14441	491
1514000	15569	490
1515000	14525	495
1516000	14525	275
1517000	14525	499
1518000	13483	493
1519000	15462	499
1520000	15462	492
1521000	15462	492
1522000	13483	277
1523000	13462	494
1524000	14525	491
1525000	14420	497
1526000	14525	496
1527000	15462	496
1528000	15462	273
1529000	16590	491
1530000	14420	498
1531000	14420	499
1532000	13504	504
1533000	15462	494
1534000	11418	494
1535000	13483	500
1536000	14525	501
1537000	13504	492
1538000	15462	499
1539000	15462	272
1540000	15462	492
1541000	15527	487
1542000	14525	276
1543000	14420	497
1544000	14420	497
1545000	15462	497
1546000	15462	492
1547000	15527	490
1548000	14420	274
1549000	13483	498
1550000	14525	501
1551000	13462	494
1552000	15462	496
1553000	15569	492
1554000	15462	495
1555000	14525	276
1556000	14525	499
1557000	14525	493
1558000	14525	493
1559000	13462	492
1560000	15548	496
1561000	15527	274
1562000	15527	490
1563000	14525	500
1564000	14525	497
1565000	13483	492
1566000	13504	272
1567000	16485	498
1568000	15462	494
1569000	16485	492
1570000	14525	500
1571000	14525	493
1572000	13483	498
1573000	15462	497
1574000	15462	273
1575000	15462	492
1576000	14525	494
1577000	14525	496
1578000	13462	273
1579000	14525	495
1580000	13483	491
1581000	14525	498
1582000	15462	493
1583000	15462	272
1584000	14525	498
1585000	13483	500
1586000	15462	499
1587000	15462	491
1588000	15548	489
1589000	13462	275
1590000	14525	496
1591000	14525	499
1592000	13462	491
1593000	15462	499
1594000	16590	489
1595000	15462	270
1596000	14525	492
1597000	13504	495
1598000	13504	496
1599000	14525	271
1600000	15462	724
1601000	15462	273
1602000	13462	491
1603000	15462	488
1604000	14525	274
1605000	13483	499
1606000	13483	493
1607000	13462	499
1608000	15462	498
1609000	15462	489
1610000	16590	493
1611000	13462	274
1612000	14525	492
1613000	13504	499
1614000	13483	494
1615000	14525	270
1616000	14420	498
1617000	16590	494
1618000	15462	492
1619000	15462	491
1620000	14420	499
1621000	13483	496
1622000	14420	500
1623000	13504	279
1624000	15462	492
1625000	15527	490
1626000	16590	493
1627000	15462	273
1628000	14525	494
1629000	13504	496
1630000	14525	499
1631000	14525	491
1632000	14525	498
1633000	15462	497
1634000	15462	270
1635000	15569	496
1636000	14525	496
1637000	14420	490
1638000	14420	497
1639000	14525	269
1640000	14525	496
1641000	13462	493
1642000	16590	498
1643000	16590	492
1644000	13483	276
1645000	14525	493
1646000	14525	491
1647000	13504	500
1648000	13483	497
1649000	16590	497
1650000	15462	272
1651000	15462	493
1652000	14525	498
1653000	14420	494
1654000	14525	494
1655000	13483	496
1656000	15462	276
1657000	15462	495
1658000	15462	492
1659000	16485	491
1660000	14525	493
1661000	14525	276
